siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise,libelle_naf
379821994,SAP FRANCE,62.02B,ETI,Tierce maintenance de systèmes et d’applications informatiques
391360971,GILEAD SCIENCES,46.46Z,ETI,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
391543576,PROCTER & GAMBLE FRANCE,46.18Z,GE,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
391637865,TECHNIP ENERGIES FRANCE,71.12B,GE,"Ingénierie, études techniques"
391804945,GROUPE PHILIPPE GINESTET,70.10Z,GE,Activités des sièges sociaux
392077517,AERO NEGOCE INTERNATIONAL,46.69B,PME,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
401251566,EMEIS,87.10A,GE,Hébergement médicalisé pour personnes âgées
401547138,SAFRANS,64.30Z,ETI,Fonds de placement et entités financières similaires
401913025,ST FINANCES,64.20Z,GE,Activités des sociétés holding
402103907,QUADIENT S.A.,70.10Z,ETI,Activités des sièges sociaux
410925473,HOLDING AND FINANCIAL PARTICIPATION,66.30Z,ETI,Gestion de fonds
410970503,SCAMARK,10.89Z,GE,Fabrication d'autres produits alimentaires n.c.a.
411096290,SNETOR OVERSEAS,46.76Z,ETI,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
411328644,VHF,64.20Z,PME,Activités des sociétés holding
411394893,HYUNDAI MOTOR FRANCE,45.11Z,ETI,Commerce de voitures et de véhicules automobiles légers
411890882,VALAMKA (GROUPE),70.22Z,PME,Conseil pour les affaires et autres conseils de gestion
412076937,ASSYSTEM,70.10Z,ETI,Activités des sièges sociaux
422551176,EUTELSAT S.A.,61.30Z,ETI,Télécommunications par satellite
422882894,FLANDRES LAITIERS MOULUS,08.12Z,GE,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin"
422950865,AKKA TECHNOLOGIES,66.30Z,GE,Gestion de fonds
435391354,BUNGE FRANCE,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
437574452,AMUNDI ASSET MANAGEMENT,66.30Z,GE,Gestion de fonds
437576531,PEUGEOT CITROEN PIECES DE RECHANGE,45.31Z,GE,Commerce de gros d'équipements automobiles
437580160,CACEIS,64.30Z,GE,Fonds de placement et entités financières similaires
450776968,LOXAM,77.32Z,ETI,Location et location-bail de machines et équipements pour la construction
450889225,SOREGIES,35.14Z,GE,Commerce d'électricité
451063739,HUAWEI TECHNOLOGIES FRANCE,46.52Z,ETI,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
451225692,ENI PLENITUDE FRANCE,35.14Z,GE,Commerce d'électricité
451321335,CARREFOUR HYPERMARCHES,47.11F,GE,Hypermarchés
451321376,CARREFOUR STATIONS SERVICE,47.30Z,GE,Commerce de détail de carburants en magasin spécialisé
451329908,CRIT,78.20Z,GE,Activités des agences de travail temporaire
484189352,HOLDING EONNET,64.20Z,ETI,Activités des sociétés holding
484290820,M-ENERGY,70.10Z,ETI,Activités des sièges sociaux
484786249,CRITEO,62.02A,ETI,Conseil en systèmes et logiciels informatiques
484834981,OMS SYNERGIE GROUP,70.22Z,ETI,Conseil pour les affaires et autres conseils de gestion
484838800,GEDIA,35.22Z,ETI,Distribution de combustibles gazeux par conduites
484918123,ABERTIS FRANCE,64.20Z,GE,Activités des sociétés holding
484964036,ARAMIS GROUP,70.22Z,GE,Conseil pour les affaires et autres conseils de gestion
499668440,ELIS,64.20Z,GE,Activités des sociétés holding
499936391,CAR-GARANTIE GMBH,45.11Z,PME,Commerce de voitures et de véhicules automobiles légers
500569405,DECATHLON FRANCE,47.64Z,GE,Commerce de détail d'articles de sport en magasin spécialisé
500689344,ALLAERT,43.32B,PME,Travaux de menuiserie métallique et serrurerie
513907261,BUNSHA INTERNATIONAL,66.30Z,GE,Gestion de fonds
525580130,COOP ATLANTIQUE,47.11D,ETI,Supermarchés
527573141,APAVE,71.20B,GE,"Analyses, essais et inspections techniques"
528593866,PROSOL,46.31Z,GE,Commerce de gros (commerce interentreprises) de fruits et légumes
528648892,CHAUSSON MATERIAUX,46.73A,ETI,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
546950379,CHARAL,10.13A,GE,Préparation industrielle de produits à base de viande
548500669,FINANCIERE ALSACIENNE DE TRANSPORT,70.10Z,ETI,Activités des sièges sociaux
552002313,BANQUE POPULAIRE RIVES DE PARIS,64.19Z,GE,Autres intermédiations monétaires
552002578,UNIBEL,64.20Z,GE,Activités des sociétés holding
552006454,TOTALENERGIES LUBRIFIANTS,19.20Z,GE,Raffinage du pétrole
552008443,SOCIETE BIC,46.49Z,ETI,Commerce de gros (commerce interentreprises) d'autres biens domestiques
