siren,date_cloture_exercice,annee_exercice,Chiffre_d_affaires,Resultat_net,marge_nette_clean,croissance_CA_clean,segment_CA,type_bilan,periode_analyse_valide,outlier_financier
449430537,2020-12-31,2020,1138091000,10310000,0.009059029550361086,,Entreprise milliardaire,K,1,0
449430537,2021-12-31,2021,1969454000,65000,3.300407117911868e-05,0.7304890382227783,Entreprise milliardaire,K,1,0
451321376,2016-12-31,2016,2122909000,-13503339,-0.006360771469714434,,Grande entreprise,C,1,0
451321376,2017-12-31,2017,2291441502,-18171570,-0.007930191534080018,0.07938753003543722,Grande entreprise,C,1,0
451321376,2018-12-31,2018,2557011920,-10272015,-0.004017194804473183,0.11589666058164988,Grande entreprise,C,1,0
451321376,2019-12-31,2019,2303057900,-6074727,-0.0026376788008673165,-0.09931671339256017,Grande entreprise,C,1,0
451321376,2020-12-31,2020,1555673174,24757718,0.015914472534319088,-0.3245184265666964,Entreprise milliardaire,C,1,0
451321376,2021-12-31,2021,1916544442,-2024329,-0.0010562390078925183,0.2319711325175811,Entreprise milliardaire,C,1,0
451321376,2022-12-31,2022,2288230602,3310020,0.001446541269532414,0.19393558106700037,Grande entreprise,C,1,0
451321376,2023-12-31,2023,1965097937,-6680734,-0.003399695187812922,-0.14121507889876564,Entreprise milliardaire,C,1,0
451321376,2024-12-31,2024,1565518713,-5703445,-0.00364316628899983,-0.20333807108362967,Entreprise milliardaire,C,1,0
452228596,2017-03-31,2017,1075621000,12589000,0.011703936609642245,,Entreprise milliardaire,K,1,0
452228596,2019-03-31,2019,1317605000,13157000,0.009985541949218468,0.2249714351058598,Entreprise milliardaire,K,1,0
452228596,2021-03-31,2021,1379706000,18077000,0.013102066672175087,0.04713172764219929,Entreprise milliardaire,K,1,0
452228596,2022-03-31,2022,1518719000,0,0.0,0.10075552327814766,Entreprise milliardaire,K,1,0
452228596,2023-03-31,2023,1713057000,19297000,0.011264657276436219,0.12796178884968187,Entreprise milliardaire,K,1,0
452228596,2024-03-31,2024,1730721000,22169000,0.012809112502823967,0.010311390689276539,Entreprise milliardaire,K,1,0
478725625,2018-09-30,2018,1021500236,-4818566,-0.004717146242538901,,Entreprise milliardaire,C,1,0
478725625,2021-09-30,2021,1007988477,19025683,0.018874901285205862,-0.013227367477573446,Entreprise milliardaire,C,1,0
478725625,2022-09-30,2022,1023448970,65346848,0.06384963971383938,0.015337966011292012,Entreprise milliardaire,C,1,0
478725625,2023-12-31,2023,1290482082,-68395195,-0.05299972464088812,0.2609149257339132,Entreprise milliardaire,C,1,0
483339156,2023-12-31,2023,1060012209,15691289,0.014802932331131292,,Entreprise milliardaire,C,1,0
491974861,2024-09-30,2024,1239603046,87115484,0.07027691992296056,,Entreprise milliardaire,C,1,0
497658377,2016-11-30,2016,1238002000,21352000,0.01724714499653474,,Entreprise milliardaire,K,1,0
504340407,2016-12-31,2016,2579000000,90100000,0.03493602171384257,,Grande entreprise,K,1,0
504340407,2017-12-31,2017,2805200000,236900000,0.08445030657350634,0.08770841411399767,Grande entreprise,K,1,0
504340407,2018-12-31,2018,2958000000,252000000,0.08519269776876268,0.05447026949950093,Grande entreprise,K,1,0
504340407,2020-12-31,2020,3734600000,407900000,0.10922187115085953,0.2625422582826234,Grande entreprise,K,1,0
504340407,2021-12-31,2021,4031400000,632200000,0.1568189710770452,0.0794730359342366,Grande entreprise,K,1,0
504340407,2022-12-31,2022,4308400000,413500000,0.09597530405719061,0.0687106216202808,Grande entreprise,K,1,0
504340407,2023-12-31,2023,4377600000,0,0.0,0.01606164701513323,Grande entreprise,K,1,0
504340407,2024-12-31,2024,4699400000,425500000,0.09054347363493212,0.07351059941520467,Grande entreprise,K,1,0
508513785,2016-12-31,2016,1785986337,21788309,0.012199594447401419,0.0219148389874626,Entreprise milliardaire,C,1,0
508513785,2017-12-31,2017,1800631806,25576687,0.01420428480424165,0.008200213347992707,Entreprise milliardaire,C,1,0
508513785,2019-12-31,2019,1823065301,19269320,0.010569736580159944,0.012458679739660224,Entreprise milliardaire,C,1,0
508513785,2020-12-31,2020,1846722148,33559418,0.01817242406300528,0.012976412302413736,Entreprise milliardaire,C,1,0
508513785,2021-12-31,2021,1907982505,43630709,0.022867457581850312,0.03317248188437279,Entreprise milliardaire,C,1,0
508513785,2022-12-31,2022,2160672650,35635420,0.016492743590751705,0.13243839727974865,Grande entreprise,C,1,0
508513785,2023-12-31,2023,2246351373,588097,0.0002618009840618109,0.039653726815119354,Grande entreprise,C,1,0
521913798,2021-12-31,2021,1091228154,165433,0.00015160257677882457,,Entreprise milliardaire,C,1,0
521913798,2023-12-31,2023,1830608715,340648,0.000186084550569836,0.6775673430801163,Entreprise milliardaire,C,1,0
521913798,2024-12-31,2024,1222482767,225043,0.00018408684856332212,-0.33219876154692074,Entreprise milliardaire,C,1,0
528593866,2022-09-30,2022,1059203978,69007917,0.06515073435647539,,Entreprise milliardaire,C,1,0
528593866,2023-09-30,2023,1169854996,122052639,0.10433142519143458,0.10446620320377989,Entreprise milliardaire,C,1,0
528593866,2024-09-30,2024,1328260926,119500912,0.0899679495653552,0.1354064653667556,Entreprise milliardaire,C,1,0
529221749,2016-12-31,2016,16040574388,229795323,0.014325878702442884,,Très grande entreprise,C,1,0
529221749,2017-12-31,2017,18735626462,424503513,0.022657556386544486,0.16801468630800256,Très grande entreprise,C,1,0
529221749,2018-12-31,2018,22559199969,-166348922,-0.007373883924456115,0.20408036607449737,Très grande entreprise,C,1,0
529221749,2019-12-31,2019,19484310100,-161169501,-0.00827175815683615,-0.1363031434281977,Très grande entreprise,C,1,0
529221749,2020-12-31,2020,10596498560,-1784754611,-0.16842871264449075,-0.45615223194379356,Très grande entreprise,C,1,0
529221749,2021-12-31,2021,15730184590,-160323288,-0.01019207925264404,0.4844700351660313,Très grande entreprise,C,1,0
529221749,2022-12-31,2022,30137843486,212352282,0.007046034401852424,0.9159243372871316,Très grande entreprise,C,1,0
529221749,2023-12-31,2023,24841237080,81585122,0.0032842616387122377,-0.1757460320099029,Très grande entreprise,C,1,0
529221749,2024-12-31,2024,23179559896,-613205783,-0.02645459127573075,-0.06689188540202926,Très grande entreprise,C,1,0
542023841,2016-12-31,2016,1779199000,3962000,0.002226844776778764,,Entreprise milliardaire,K,1,0
542023841,2017-12-31,2017,1896053000,1883000,0.0009931156987700238,0.06567786964808321,Entreprise milliardaire,K,1,0
542023841,2018-12-31,2018,1950511000,-19900000,-0.010202454638810034,0.028721770963153457,Entreprise milliardaire,K,1,0
542023841,2019-12-31,2019,1998890000,-22593000,-0.011302773039036665,0.02480324386788898,Entreprise milliardaire,K,1,0
542023841,2020-12-31,2020,1610235000,-74775000,-0.04643732126056135,-0.19443541165346767,Entreprise milliardaire,K,1,0
542023841,2021-12-31,2021,1723916000,17477000,0.010137964958849503,0.07059901194546138,Entreprise milliardaire,K,1,0
542023841,2022-12-31,2022,2026970000,9838000,0.004853549879869953,0.1757939481970119,Grande entreprise,K,1,0
542023841,2023-12-31,2023,2394719000,-2221000,-0.0009274574595182148,0.1814279441728294,Grande entreprise,K,1,0
542023841,2024-12-31,2024,2280933000,38545000,0.016898786593030134,-0.04751538698277334,Grande entreprise,K,1,0
542097902,2021-12-31,2021,3980000000,215000000,0.05402010050251256,,Grande entreprise,K,1,0
542097902,2022-12-31,2022,3891000000,257000000,0.06604985864816243,-0.02236180904522613,Grande entreprise,K,1,0
542097902,2023-12-31,2023,3599000000,0,0.0,-0.07504497558468261,Grande entreprise,K,1,0
